"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"pDC.LMO4",1.69756916274339e-09,1.18301189431233,0.345,0.147,4.15547955347954e-05,"pDC"
"pDC.NIBAN3",1.76228244444314e-09,0.610065183904005,0.786,0.621,4.31389119575236e-05,"pDC"
"pDC.S100A11",1.94617263205387e-09,1.24682108083684,0.5,0.303,4.76403598600467e-05,"pDC"
"pDC.SAMD9",2.00281422670318e-09,1.39156861738099,0.273,0.102,4.90268894554671e-05,"pDC"
"pDC.GAPT",2.16112455288866e-09,0.657818579238275,0.792,0.642,5.29021679301614e-05,"pDC"
"pDC.KCNK17",6.17026456791635e-09,0.992089053535741,0.276,0.104,0.000151041906358024,"pDC"
"pDC.TCF4",6.64545898881994e-09,0.550959947827875,0.938,0.86,0.000162674190587323,"pDC"
"pDC.RPL3",7.70457887561104e-09,0.621126568762532,0.77,0.637,0.000188600386296083,"pDC"
"pDC.PSMB9",9.30368488555579e-09,0.860485379775609,0.528,0.318,0.00022774490231352,"pDC"
"pDC.TIFAB",1.02740788483269e-08,2.43322579184144,0.155,0.036,0.000251499176128195,"pDC"
"pDC.KMO",1.05514692615532e-08,1.67710009712581,0.183,0.05,0.00025828941605356,"pDC"
"pDC.VAMP8",1.09368172085786e-08,0.547053145483441,0.832,0.711,0.000267722348448796,"pDC"
"pDC.FCN1",1.17665264552253e-08,1.70930092535254,0.224,0.076,0.000288032801097459,"pDC"
"pDC.PACSIN1",1.26265771553306e-08,0.80051123698633,0.519,0.303,0.000309085982185337,"pDC"
"pDC.LST1",1.32712003360657e-08,1.77669615138897,0.208,0.066,0.000324865713026552,"pDC"
"pDC.ADA",1.36608211086438e-08,0.803000794548346,0.444,0.23,0.000334403239918492,"pDC"
"pDC.PNOC",1.45410952260184e-08,2.3953366318458,0.152,0.036,0.000355951470037705,"pDC"
"pDC.FOLR3",1.64503088540281e-08,4.32400768405908,0.093,0.007,0.000402687110437753,"pDC"
"pDC.AC007381.1",2.06275993412836e-08,1.23195812981902,0.342,0.164,0.000504943004275282,"pDC"
"pDC.MBP",2.47037548397634e-08,0.912467230563777,0.447,0.244,0.000604723214722569,"pDC"
"pDC.CRISP3",2.65498003965441e-08,2.12121624836427,0.165,0.043,0.000649912563907002,"pDC"
"pDC.TNFAIP8",3.29260666548329e-08,0.919068593355935,0.401,0.206,0.000805997185643654,"pDC"
"pDC.CPED1",3.46210255265216e-08,1.32947318963454,0.245,0.092,0.000847488083863722,"pDC"
"pDC.NMI",4.49163714623509e-08,1.14264266020481,0.314,0.147,0.00109950785702689,"pDC"
"pDC.CORO1A",5.55405803513261e-08,0.722804930654479,0.618,0.424,0.00135957786642011,"pDC"
"pDC.LINC00996",5.60732115625427e-08,1.37278996811254,0.289,0.126,0.00137261614583948,"pDC"
"pDC.AC097375.1",5.6513740871088e-08,1.32375931507151,0.286,0.121,0.00138339986278336,"pDC"
"pDC.PEA15",5.96802025206878e-08,1.36859783519826,0.227,0.081,0.00146091167750392,"pDC"
"pDC.RPL9",6.11877049069527e-08,0.894310680799397,0.419,0.223,0.0014978138284173,"pDC"
"pDC.CDH23",6.25639572503871e-08,1.67807366252118,0.171,0.047,0.00153150310953223,"pDC"
"pDC.BCL11A",6.36340755144035e-08,0.605967353878569,0.758,0.562,0.00155769853451708,"pDC"
"pDC.DDX60",6.57594665879276e-08,2.90745422635703,0.109,0.017,0.00160972598260588,"pDC"
"pDC.CARD16",6.83040508904498e-08,1.89367240718656,0.168,0.047,0.00167201486174732,"pDC"
"pDC.RPL18A",7.32017920497483e-08,0.760131670686668,0.618,0.422,0.00179190666758579,"pDC"
"pDC.PSAP",9.15650256788582e-08,0.587834384464547,0.823,0.68,0.00224142026359277,"pDC"
"pDC.RPS25",1.10305036401799e-07,0.544255855654844,0.807,0.661,0.00270015698607964,"pDC"
"pDC.IFITM2",1.3165926654911e-07,0.870478078567643,0.646,0.469,0.00322288718585567,"pDC"
"pDC.HESX1",1.38527000629493e-07,3.54804691644661,0.084,0.007,0.00339100244840936,"pDC"
"pDC.TYROBP",1.45948989949918e-07,0.608721491909825,0.801,0.727,0.00357268532498405,"pDC"
"pDC.PARP14",1.59255688836074e-07,2.37805318665563,0.152,0.043,0.00389842000701826,"pDC"
"pDC.ABHD6",1.88245861657679e-07,2.99997717740326,0.099,0.014,0.00460807044751831,"pDC"
"pDC.RPL36AL",2.32439285283952e-07,0.558432531815884,0.776,0.68,0.00568988126446586,"pDC"
"pDC.JAML",2.39204676631704e-07,0.610745908802986,0.739,0.597,0.00585549127926748,"pDC"
"pDC.FYB1",2.44899725925127e-07,0.782538428226468,0.534,0.332,0.00599490039092118,"pDC"
