,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Psmb1,2.38997435275733e-86,-1.43391276042848,0.36,0.495,3.92290390261589e-82
Pgk1,2.82501827894733e-86,0.543190232098983,0.714,0.453,4.63698500306415e-82
Grsf1,2.93335351222305e-86,1.31121778481561,0.282,0.103,4.81480645496292e-82
S1pr1,3.81810865692351e-86,1.64048992917283,0.241,0.077,6.26704354947426e-82
Cyp2d22,4.27784091966734e-86,0.690180798484749,0.483,0.251,7.02164808554197e-82
Ahcy,8.33544507514961e-86,0.562814304512013,0.637,0.391,1.36817995463506e-81
Slc16a1,1.09636070471155e-85,1.5597187606598,0.272,0.1,1.79956646071354e-81
R3hdm2,1.35299961546156e-85,1.70989445983244,0.236,0.074,2.22081356881861e-81
Ythdf3,2.69372772329583e-85,1.39996806958945,0.28,0.104,4.42148468501778e-81
Slc38a2,2.80573523926664e-85,0.826925240693651,0.342,0.147,4.60533382173226e-81
Cycs,3.35048366686802e-85,-1.12134614610429,0.696,0.697,5.49948389079717e-81
Egr1,3.42466257711564e-85,1.63926020144083,0.26,0.093,5.62124115407761e-81
Nbr1,3.7623934694455e-85,1.42936843453667,0.272,0.1,6.17559264074784e-81
Lpp,5.27097409475713e-85,1.93986727770557,0.213,0.059,8.65177687913436e-81
Clint1,5.99035742067177e-85,1.34813272927532,0.272,0.098,9.83257267029064e-81
Hrsp12,7.53352143820763e-85,-1.22686881090498,0.875,0.816,1.2365522088674e-80
Sh3bp5,7.87623143173433e-85,1.6768701062721,0.234,0.073,1.29280462720487e-80
Acaa1b,8.38748071743112e-85,-0.777923429534365,0.954,0.943,1.37672108495914e-80
Slc39a1,8.39361138794267e-85,1.41155667449022,0.254,0.085,1.37772737321691e-80
Rnf103,9.04820798096783e-85,1.37878153312824,0.28,0.106,1.48517285799606e-80
Arrdc3,9.60670252946978e-85,1.13708357538484,0.338,0.146,1.57684415318717e-80
Jade1,9.88600249681648e-85,1.71519354078924,0.232,0.072,1.62268844982746e-80
Yme1l1,1.06449312868093e-84,1.45935014402386,0.268,0.096,1.74725902141688e-80
Hs3st3b1,2.56065920279334e-84,2.02438106003895,0.2,0.052,4.20306601546499e-80
Hgd,3.58178542714899e-84,-1.05181678310604,0.631,0.684,5.87914260012236e-80
Arl4d,3.61451214902275e-84,1.39149421851191,0.269,0.096,5.93286024140594e-80
Zfp36l2,5.65849151058517e-84,1.40394514030429,0.261,0.091,9.2878479654745e-80
BC002163,6.4733803486706e-84,-1.5608044574542,0.28,0.428,1.06254065043079e-79
Acss2,6.57883728893338e-84,1.30034194561905,0.309,0.127,1.07985035260553e-79
Tmem86b,8.09297309493894e-84,1.00819397290089,0.364,0.167,1.32838060380328e-79
Pls3,1.51426348468601e-83,1.13252893300667,0.291,0.11,2.48551208376361e-79
Irak1,2.04181557491081e-83,1.62985379386212,0.236,0.076,3.35143608465861e-79
Atf5,2.10004120180146e-83,0.567486924478119,0.715,0.482,3.44700762863691e-79
Gsta3,2.19875260141667e-83,-0.808772263491748,0.921,0.903,3.60903251996532e-79
Pank3,4.96750279953422e-83,1.77425923373787,0.22,0.065,8.15365909515547e-79
Gbe1,7.67742402847456e-83,0.707487633451405,0.488,0.259,1.26017238003381e-78
Acsf2,7.81341590491552e-83,1.00907119390706,0.347,0.154,1.28249408663283e-78
Pnpla8,9.28605806727876e-83,0.899672642276139,0.422,0.214,1.52421357116314e-78
Pja2,1.43998221334393e-82,1.67365011096387,0.238,0.078,2.36358680498273e-78
Hc,2.51280632541289e-82,0.504427486734463,0.598,0.327,4.12452030253273e-78
Wwp1,2.51911337180227e-82,1.12690152206161,0.316,0.132,4.13487268847624e-78
