,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CFL1P52,1.2777289804653e-46,0.974706592597657,0.088,0.216,2.55545796093059e-43,2,CFL1P5
AC024243.1,6.9859627901025e-46,0.462749360016051,0.21,0.315,1.3971925580205e-42,2,AC024243.1
PAX8-AS11,7.7903377518486e-46,1.78530637863095,0.154,0.318,1.55806755036972e-42,2,PAX8-AS1
NME11,1.75149279235331e-45,0.27918841200383,0.993,0.956,3.50298558470661e-42,2,NME1
AC090246.11,2.39395034513714e-45,1.12765457327201,0.119,0.164,4.78790069027428e-42,2,AC090246.1
C1orf211,3.38903195843456e-45,0.728260091916861,0.784,0.729,6.77806391686911e-42,2,C1orf21
BEX11,1.2472486520789e-44,0.46214175463847,0.872,0.821,2.4944973041578e-41,2,BEX1
PRDX11,2.4275498808155e-44,0.21813326212435,0.999,0.992,4.855099761631e-41,2,PRDX1
FANCD21,4.58987551270789e-44,0.522735431526608,0.837,0.767,9.17975102541579e-41,2,FANCD2
SLC22A41,5.54732906343821e-44,0.725936955639392,0.178,0.266,1.10946581268764e-40,2,SLC22A4
DMRTA2,1.64862179679755e-43,0.374926800690176,0.076,0.106,3.2972435935951e-40,2,DMRTA2
CCDC341,5.98520847980717e-43,0.406022357981649,0.916,0.862,1.19704169596143e-39,2,CCDC34
PRXL2A,7.32165188432785e-43,0.512058012706635,0.829,0.785,1.46433037686557e-39,2,PRXL2A
UBE2T1,2.48162742825823e-42,0.345362601132837,0.927,0.854,4.96325485651647e-39,2,UBE2T
JAM21,3.61353705327674e-42,2.77594758415172,0.113,0.151,7.22707410655349e-39,2,JAM2
AC104806.21,1.29891585404079e-40,1.0156940150837,0.13,0.106,2.59783170808158e-37,2,AC104806.2
KIF25-AS11,2.64361731343734e-40,0.492240267671828,0.157,0.27,5.28723462687468e-37,2,KIF25-AS1
GPC3,4.99307513387865e-40,0.197053928034019,0.333,0.481,9.98615026775731e-37,2,GPC3
SND1-IT11,9.1204271401232e-39,0.101977793007662,0.246,0.37,1.82408542802464e-35,2,SND1-IT1
HIST1H4B1,9.43360012253392e-39,1.25252455571411,0.127,0.134,1.88672002450679e-35,2,HIST1H4B
NFIB,2.02938978882233e-38,1.16122827470603,0.175,0.235,4.05877957764467e-35,2,NFIB
SYNE21,1.21042103532929e-37,0.686255998903629,0.773,0.725,2.42084207065857e-34,2,SYNE2
E2F71,1.62210382980233e-37,1.06955211172579,0.627,0.614,3.24420765960465e-34,2,E2F7
CACYBP1,3.75659775296051e-37,0.251598608351349,0.985,0.95,7.51319550592101e-34,2,CACYBP
AC079612.11,5.80238026090675e-37,0.950908758291298,0.157,0.187,1.16047605218135e-33,2,AC079612.1
SLC16A2,1.22364668633429e-36,0.444248979945153,0.21,0.385,2.44729337266859e-33,2,SLC16A2
POLA11,1.26713428619643e-36,0.933115387663191,0.623,0.627,2.53426857239285e-33,2,POLA1
ELF3,3.23626804378374e-36,0.262993360457173,0.167,0.186,6.47253608756749e-33,2,ELF3
ADA1,1.28521901415948e-34,0.23750405354924,0.993,0.98,2.57043802831895e-31,2,ADA
