,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PLEKHD13,3.37316754042349e-22,1.69299222651451,0.469,0.342,6.74633508084698e-19,9,PLEKHD1
JAM27,3.53754682975774e-22,6.04705133224644,0.17,0.146,7.07509365951547e-19,9,JAM2
RNASEL3,6.74289863518093e-22,1.09936849768393,0.639,0.493,1.34857972703619e-18,9,RNASEL
LINC012775,8.05675699834885e-22,0.498222933210251,0.418,0.241,1.61135139966977e-18,9,LINC01277
TAS2R106,1.04138177646707e-21,0.545600152728214,0.341,0.192,2.08276355293413e-18,9,TAS2R10
DDAH22,1.36319442455792e-21,1.09945733878231,0.729,0.687,2.72638884911584e-18,9,DDAH2
ANTXR23,1.5990838486295e-21,1.99664851044015,0.529,0.475,3.198167697259e-18,9,ANTXR2
DCLK35,1.89853668681645e-21,1.80951622938325,0.518,0.33,3.79707337363289e-18,9,DCLK3
CD382,2.07443233573451e-21,1.76254571033845,0.636,0.566,4.14886467146902e-18,9,CD38
AC040963.15,2.48872804727815e-21,5.8334106644001,0.317,0.044,4.9774560945563e-18,9,AC040963.1
EGR43,3.94192547278246e-21,3.264752130928,0.271,0.252,7.88385094556493e-18,9,EGR4
SLC32A16,3.9447423253082e-21,2.01397517517661,0.337,0.316,7.88948465061639e-18,9,SLC32A1
TGFA1,4.2891163157651e-21,2.16124736893869,0.542,0.46,8.57823263153021e-18,9,TGFA
AP000437.14,5.37723672685505e-21,0.487002738639994,0.495,0.23,1.07544734537101e-17,9,AP000437.1
TRBC24,7.51576995401551e-21,0.674153901492438,0.85,0.761,1.5031539908031e-17,9,TRBC2
PDZK16,9.91171391267841e-21,1.43015589427533,0.277,0.156,1.98234278253568e-17,9,PDZK1
FASLG4,1.07212918117238e-20,0.55816908999056,0.297,0.303,2.14425836234475e-17,9,FASLG
AC137932.33,1.25897379648933e-20,0.349119950759556,0.317,0.122,2.51794759297866e-17,9,AC137932.3
C6orf584,1.28774675530213e-20,0.761872390059943,0.168,0.166,2.57549351060426e-17,9,C6orf58
ATF7IP3,1.31401190709294e-20,0.599085918277769,0.797,0.702,2.62802381418588e-17,9,ATF7IP
ABCA17P4,1.4061798356937e-20,1.05472882184392,0.429,0.188,2.8123596713874e-17,9,ABCA17P
AREG3,1.61479501790862e-20,2.29526790756019,0.156,0.12,3.22959003581725e-17,9,AREG
VWF5,1.70886986411055e-20,1.33752674835971,0.095,0.172,3.41773972822109e-17,9,VWF
OSCAR2,2.00057692356061e-20,0.831467816150936,0.485,0.196,4.00115384712122e-17,9,OSCAR
AC008629.16,2.27765858147921e-20,1.51839371438769,0.37,0.186,4.55531716295841e-17,9,AC008629.1
HSPD1P112,2.5250905278805e-20,1.42984435478611,0.515,0.389,5.05018105576101e-17,9,HSPD1P11
PRAME4,2.61471791455994e-20,0.495385154719982,0.916,0.88,5.22943582911988e-17,9,PRAME
CD842,2.70871077355659e-20,1.04110650410147,0.72,0.671,5.41742154711318e-17,9,CD84
JAKMIP23,2.91067914360767e-20,1.05272694661575,0.632,0.5,5.82135828721535e-17,9,JAKMIP2
AC108134.32,3.50433549897799e-20,1.42005392765253,0.458,0.365,7.00867099795599e-17,9,AC108134.3
AC004854.27,3.50687755018211e-20,4.38603317293218,0.3,0.091,7.01375510036421e-17,9,AC004854.2
AC079944.29,3.76963848056439e-20,1.67663706336197,0.046,0.059,7.53927696112878e-17,9,AC079944.2
LINC010686,4.66431986407358e-20,0.889676157280185,0.222,0.096,9.32863972814716e-17,9,LINC01068
AL353576.12,6.34337761952155e-20,1.34271454313323,0.119,0.112,1.26867552390431e-16,9,AL353576.1
FGF183,7.59822421274592e-20,1.43432985175027,0.375,0.207,1.51964484254918e-16,9,FGF18
KLHL241,8.83098194740205e-20,0.71695743973835,0.791,0.685,1.76619638948041e-16,9,KLHL24
AC004837.45,9.59965538628878e-20,0.628074067074193,0.311,0.148,1.91993107725776e-16,9,AC004837.4
GATA3-AS15,1.2556716390209e-19,1.59352605044912,0.341,0.213,2.51134327804179e-16,9,GATA3-AS1
TXNIP3,1.71862683395007e-19,0.380126834932163,0.355,0.217,3.43725366790014e-16,9,TXNIP
LINC019342,1.81473279707567e-19,0.963785753429613,0.663,0.519,3.62946559415134e-16,9,LINC01934
FGFR12,1.82233255127974e-19,1.25258439176674,0.663,0.592,3.64466510255948e-16,9,FGFR1
EGR2,1.94036318427733e-19,2.03505129795819,0.216,0.179,3.88072636855467e-16,9,EGR2
NR4A32,2.54907295853527e-19,2.16313141675093,0.277,0.149,5.09814591707054e-16,9,NR4A3
CFAP453,3.28020301577522e-19,0.854702188365408,0.445,0.225,6.56040603155043e-16,9,CFAP45
AC008895.15,4.50011703903981e-19,1.09854990865814,0.39,0.237,9.00023407807961e-16,9,AC008895.1
IRS3P1,5.43292203110346e-19,0.132786261427363,0.125,0.101,1.08658440622069e-15,9,IRS3P
APOL11,5.57905616420184e-19,0.453751058310673,0.223,0.163,1.11581123284037e-15,9,APOL1
PPP1R274,8.34802279349415e-19,1.72264296274634,0.333,0.232,1.66960455869883e-15,9,PPP1R27
FHDC15,1.13171478589148e-18,0.847280491476918,0.484,0.324,2.26342957178296e-15,9,FHDC1
DPF32,2.12876348508639e-18,1.73105697301616,0.577,0.549,4.25752697017278e-15,9,DPF3
OTP3,2.22922720801293e-18,1.30262305829279,0.278,0.163,4.45845441602586e-15,9,OTP
RORB2,2.29171247687877e-18,1.1897840167387,0.685,0.604,4.58342495375755e-15,9,RORB
MACROD25,2.52126909581453e-18,1.69040141504744,0.299,0.213,5.04253819162905e-15,9,MACROD2
C12orf504,3.12821168315872e-18,0.343472222541594,0.121,0.124,6.25642336631745e-15,9,C12orf50
VAV33,3.46292432840147e-18,0.45342499472227,0.912,0.866,6.92584865680294e-15,9,VAV3
SLC16A42,3.78028907634878e-18,1.0760354304465,0.458,0.21,7.56057815269757e-15,9,SLC16A4
SUCNR14,4.87957573731283e-18,0.86035421131086,0.397,0.321,9.75915147462566e-15,9,SUCNR1
CCR51,4.9692236709394e-18,2.59496506430052,0.436,0.407,9.9384473418788e-15,9,CCR5
MAP73,6.95762192078079e-18,0.354366653923643,0.43,0.291,1.39152438415616e-14,9,MAP7
ACTG11,8.02296987444725e-18,0.240644911070572,1,0.999,1.60459397488945e-14,9,ACTG1
STPG15,9.82198376976857e-18,2.63242410837917,0.423,0.383,1.96439675395371e-14,9,STPG1
AC009948.23,1.11672196584375e-17,1.45688168718243,0.408,0.186,2.2334439316875e-14,9,AC009948.2
PRDM83,1.30427323405266e-17,1.94065816376594,0.507,0.436,2.60854646810532e-14,9,PRDM8
USP513,2.6207828225076e-17,0.984456398822895,0.495,0.275,5.24156564501519e-14,9,USP51
AC007881.44,2.68836126661255e-17,0.411966242268413,0.529,0.356,5.37672253322509e-14,9,AC007881.4
AC024270.53,3.14863990463546e-17,0.930459468992652,0.429,0.285,6.29727980927093e-14,9,AC024270.5
AC133552.13,4.91933695923321e-17,0.170386330158791,0.577,0.29,9.83867391846642e-14,9,AC133552.1
LINC013663,5.41070081437787e-17,0.797468631445707,0.753,0.664,1.08214016287557e-13,9,LINC01366
SLC2A32,5.990010269492e-17,1.24936453120582,0.579,0.519,1.1980020538984e-13,9,SLC2A3
TTN1,6.29954969613964e-17,0.250255990022094,0.46,0.237,1.25990993922793e-13,9,TTN
CLEC12A2,7.70320653570491e-17,0.710143634853927,0.571,0.347,1.54064130714098e-13,9,CLEC12A
AL358933.13,7.91375876721176e-17,1.32738854874028,0.379,0.27,1.58275175344235e-13,9,AL358933.1
KLHL42,8.28938894361561e-17,1.25109679783247,0.386,0.242,1.65787778872312e-13,9,KLHL4
DYNLRB25,8.60288514729888e-17,2.58877106101443,0.302,0.19,1.72057702945978e-13,9,DYNLRB2
AARD4,9.18178092732142e-17,1.0770533057957,0.564,0.389,1.83635618546428e-13,9,AARD
GIHCG4,1.0376534953437e-16,0.37054233704597,0.896,0.898,2.07530699068741e-13,9,GIHCG
TMPRSS136,1.1922857917466e-16,0.785047697242875,0.196,0.162,2.3845715834932e-13,9,TMPRSS13
LINC010944,1.25489102782055e-16,0.179674153631702,0.619,0.362,2.5097820556411e-13,9,LINC01094
MB1,1.84990512791846e-16,6.90458980711295,0.244,0.2,3.69981025583691e-13,9,MB
AL034397.24,2.19020091489241e-16,4.31527931760049,0.293,0.133,4.38040182978482e-13,9,AL034397.2
OBI12,2.22842182969405e-16,0.716628192345329,0.8,0.687,4.45684365938809e-13,9,OBI1
GAS68,2.34120084007651e-16,2.61762735915013,0.218,0.081,4.68240168015303e-13,9,GAS6
FBLN53,2.64611387395444e-16,0.623212336783022,0.518,0.315,5.29222774790887e-13,9,FBLN5
AC110769.22,3.34076603104273e-16,1.31115646977483,0.471,0.273,6.68153206208546e-13,9,AC110769.2
AL162274.22,3.79340169387762e-16,1.10823670101994,0.321,0.13,7.58680338775524e-13,9,AL162274.2
SCD5,5.07962747689472e-16,0.36609202770074,0.98,0.966,1.01592549537894e-12,9,SCD
RFLNB2,5.62631097422943e-16,0.541278811548998,0.859,0.79,1.12526219484589e-12,9,RFLNB
AC008079.14,7.02638897753347e-16,0.452910031342455,0.174,0.125,1.40527779550669e-12,9,AC008079.1
AC019129.22,1.35931373333214e-15,0.30534877075084,0.546,0.259,2.71862746666427e-12,9,AC019129.2
AC096642.14,1.6996814901599e-15,0.445658695744764,0.626,0.366,3.3993629803198e-12,9,AC096642.1
RPL26P276,2.48850240080482e-15,0.740202392416581,0.302,0.183,4.97700480160965e-12,9,RPL26P27
AL513217.15,2.76505546855156e-15,0.332914970000502,0.278,0.277,5.53011093710312e-12,9,AL513217.1
ZBTB162,2.77349177949104e-15,0.638656622074756,0.603,0.541,5.54698355898208e-12,9,ZBTB16
BAAT4,2.8505465360644e-15,0.740147252384651,0.412,0.23,5.7010930721288e-12,9,BAAT
ATP8A22,3.02080179506808e-15,0.627394934772567,0.819,0.759,6.04160359013616e-12,9,ATP8A2
HMGN1P84,3.09281691213351e-15,0.452532947323093,0.229,0.182,6.18563382426703e-12,9,HMGN1P8
TCEAL93,3.52372664042832e-15,1.47374044574056,0.403,0.234,7.04745328085664e-12,9,TCEAL9
HLA-DOA1,3.92778988220468e-15,1.49815228717133,0.549,0.487,7.85557976440935e-12,9,HLA-DOA
AC010896.15,5.02720757725178e-15,2.32242752609211,0.26,0.204,1.00544151545036e-11,9,AC010896.1
AC139493.24,5.42622160659884e-15,0.111488466884365,0.341,0.194,1.08524432131977e-11,9,AC139493.2
PLCH11,6.59075067486353e-15,1.22459831991525,0.614,0.555,1.31815013497271e-11,9,PLCH1
TBC1D305,8.44417086588222e-15,2.34813506142777,0.275,0.231,1.68883417317644e-11,9,TBC1D30
AP000894.23,9.20794687661513e-15,2.33917482140888,0.353,0.366,1.84158937532303e-11,9,AP000894.2
TMEM2173,9.58478190971959e-15,1.57236453634578,0.445,0.257,1.91695638194392e-11,9,TMEM217
HHIP2,9.97986027269749e-15,0.534762287094427,0.846,0.792,1.9959720545395e-11,9,HHIP
CEP1264,1.06760239740026e-14,0.897800514157687,0.57,0.471,2.13520479480053e-11,9,CEP126
AC006033.22,1.1477831149514e-14,0.748608414070846,0.293,0.174,2.2955662299028e-11,9,AC006033.2
PRDM12,1.41107571714129e-14,1.43601620044148,0.551,0.45,2.82215143428258e-11,9,PRDM1
DOCK42,1.91472849092775e-14,0.603099629524715,0.564,0.403,3.8294569818555e-11,9,DOCK4
AC093635.17,2.21860507143041e-14,0.981836909480585,0.467,0.261,4.43721014286082e-11,9,AC093635.1
MIAT4,2.80378154103875e-14,0.648625944375971,0.473,0.319,5.60756308207751e-11,9,MIAT
P2RX77,2.86698657727238e-14,1.05933001776444,0.322,0.218,5.73397315454476e-11,9,P2RX7
PELI21,2.91595589045853e-14,0.561587159776238,0.852,0.796,5.83191178091705e-11,9,PELI2
GDAP1L14,3.34594116977663e-14,1.81721459305435,0.299,0.183,6.69188233955327e-11,9,GDAP1L1
AC067852.33,3.39337949328201e-14,0.734947379289562,0.454,0.321,6.78675898656403e-11,9,AC067852.3
FAM133B3,3.41353563633312e-14,0.292691130077719,0.963,0.934,6.82707127266625e-11,9,FAM133B
ANKRD18CP4,3.93691164738144e-14,1.00607683372592,0.535,0.36,7.87382329476289e-11,9,ANKRD18CP
CYP4A22-AS12,4.36551350832979e-14,1.24790615845916,0.482,0.344,8.73102701665958e-11,9,CYP4A22-AS1
LAX11,5.00970516339008e-14,0.918146119765947,0.731,0.656,1.00194103267802e-10,9,LAX1
TUBB32,8.05119223864623e-14,1.69642565329475,0.5,0.444,1.61023844772925e-10,9,TUBB3
EDNRB-AS17,8.06462687441177e-14,3.29447504676407,0.071,0.188,1.61292537488235e-10,9,EDNRB-AS1
CD934,8.08164028476228e-14,2.53010519762934,0.454,0.348,1.61632805695246e-10,9,CD93
TAF7L3,8.09648672214449e-14,0.343201512774994,0.289,0.224,1.6192973444289e-10,9,TAF7L
CHI3L23,8.75656444349198e-14,0.560811152055086,0.987,0.989,1.7513128886984e-10,9,CHI3L2
AC000065.12,1.05894720688083e-13,2.04976831990793,0.473,0.373,2.11789441376166e-10,9,AC000065.1
DMRTA24,1.45468760666259e-13,1.23230082599613,0.141,0.101,2.90937521332517e-10,9,DMRTA2
AP006216.16,1.93454105903755e-13,0.859680346445733,0.117,0.018,3.8690821180751e-10,9,AP006216.1
AL136526.16,1.96180025812462e-13,0.863009176913303,0.478,0.26,3.92360051624924e-10,9,AL136526.1
NLGN4X2,2.86332580060509e-13,0.489520165489782,0.52,0.476,5.72665160121019e-10,9,NLGN4X
LRRD15,3.04954082269142e-13,1.32536646012034,0.123,0.194,6.09908164538283e-10,9,LRRD1
POU5F22,3.05075685635026e-13,1.13399363321231,0.515,0.308,6.10151371270051e-10,9,POU5F2
JCAD4,3.55546935235096e-13,1.43093068738477,0.485,0.391,7.11093870470192e-10,9,JCAD
ZC3H64,3.71498091895908e-13,0.435978050339018,0.714,0.62,7.42996183791816e-10,9,ZC3H6
AL008628.17,3.75252052725281e-13,0.715624764299438,0.544,0.317,7.50504105450563e-10,9,AL008628.1
TNNI3K5,4.68877540943463e-13,0.144997934812462,0.216,0.192,9.37755081886925e-10,9,TNNI3K
NPR34,5.66713048839352e-13,1.36000671372999,0.218,0.211,1.1334260976787e-09,9,NPR3
AL133353.15,6.05595192488177e-13,1.1102890527215,0.383,0.283,1.21119038497635e-09,9,AL133353.1
TMEM2363,6.72316395680841e-13,1.35301357726816,0.54,0.333,1.34463279136168e-09,9,TMEM236
AL663070.13,7.19915340417019e-13,1.01564775397827,0.229,0.175,1.43983068083404e-09,9,AL663070.1
ISG152,7.64191350215215e-13,0.590448823253525,0.78,0.715,1.52838270043043e-09,9,ISG15
IQGAP22,7.68985352409144e-13,0.396144786531043,0.877,0.827,1.53797070481829e-09,9,IQGAP2
AC009962.13,8.53043114952214e-13,0.685747602204679,0.339,0.231,1.70608622990443e-09,9,AC009962.1
AC011379.26,8.843738965586e-13,1.78797818833004,0.192,0.141,1.7687477931172e-09,9,AC011379.2
KHDC1L6,9.2640971945515e-13,0.997692039812366,0.143,0.184,1.8528194389103e-09,9,KHDC1L
PSD35,9.98411156432021e-13,0.729039939050267,0.319,0.189,1.99682231286404e-09,9,PSD3
HMGCS12,1.00760285292688e-12,0.473958064090181,0.888,0.858,2.01520570585375e-09,9,HMGCS1
GIMAP74,1.00770906013475e-12,0.427488718288178,0.758,0.712,2.01541812026951e-09,9,GIMAP7
AL139289.24,1.06239145080469e-12,0.12744791941122,0.198,0.171,2.12478290160938e-09,9,AL139289.2
RPS3AP256,1.26059955576228e-12,6.37103385945364,0.145,0.143,2.52119911152456e-09,9,RPS3AP25
TTF12,1.32382183010211e-12,0.434026192953166,0.874,0.844,2.64764366020421e-09,9,TTF1
SLC35F32,1.37429745026547e-12,0.35130600207397,0.366,0.293,2.74859490053094e-09,9,SLC35F3
TDRD92,1.42051447845231e-12,1.14842890922308,0.581,0.631,2.84102895690462e-09,9,TDRD9
PRORSD1P3,1.46601409079731e-12,0.870466809557995,0.474,0.314,2.93202818159462e-09,9,PRORSD1P
HHIP-AS13,1.50599733346588e-12,0.418799328104658,0.824,0.832,3.01199466693177e-09,9,HHIP-AS1
AL662907.13,1.5121869606688e-12,2.54002210989834,0.322,0.343,3.0243739213376e-09,9,AL662907.1
GABRB25,1.80688170158158e-12,0.277586152904544,0.485,0.423,3.61376340316315e-09,9,GABRB2
SLC14A15,1.87258925284338e-12,0.291582498019646,0.52,0.361,3.74517850568675e-09,9,SLC14A1
MAP92,1.9439219766663e-12,0.677724213165936,0.626,0.425,3.88784395333261e-09,9,MAP9
AC004687.12,2.00557242223976e-12,0.48646243009162,0.817,0.736,4.01114484447951e-09,9,AC004687.1
TG4,2.04619670656467e-12,0.806380341407758,0.28,0.199,4.09239341312935e-09,9,TG
ECEL15,2.61812504233424e-12,1.23896035506679,0.328,0.337,5.23625008466848e-09,9,ECEL1
SYTL32,2.62657814815546e-12,0.447533684168276,0.22,0.195,5.25315629631092e-09,9,SYTL3
UBXN10-AS14,2.66248526895927e-12,1.37576715098496,0.518,0.479,5.32497053791854e-09,9,UBXN10-AS1
CD40LG2,3.47415102750716e-12,2.97161433396426,0.328,0.36,6.94830205501432e-09,9,CD40LG
UTRN2,3.47518986078093e-12,0.609380580968034,0.716,0.63,6.95037972156187e-09,9,UTRN
ZNF2335,3.47997714999052e-12,1.06986711722567,0.231,0.266,6.95995429998104e-09,9,ZNF233
AL671277.25,3.49886604700881e-12,0.746821216595404,0.288,0.276,6.99773209401761e-09,9,AL671277.2
AC016074.21,4.3388316008368e-12,0.565835249746669,0.524,0.394,8.6776632016736e-09,9,AC016074.2
RNF54,4.84236605237245e-12,0.47676530870424,0.773,0.8,9.6847321047449e-09,9,RNF5
AC008883.35,5.36745032713152e-12,1.89150268620344,0.403,0.316,1.0734900654263e-08,9,AC008883.3
MBP3,6.26241442967085e-12,0.499282358977133,0.886,0.831,1.25248288593417e-08,9,MBP
TERB17,7.79040107486211e-12,0.309172035467428,0.311,0.236,1.55808021497242e-08,9,TERB1
AF241728.25,7.9874685344118e-12,0.521365109444339,0.262,0.256,1.59749370688236e-08,9,AF241728.2
FAM30A2,8.01700456835796e-12,0.859135950465329,0.626,0.588,1.60340091367159e-08,9,FAM30A
AL021368.36,8.54776720954057e-12,0.474095338397692,0.341,0.214,1.70955344190811e-08,9,AL021368.3
AC068790.95,8.73670068760866e-12,0.166371726380543,0.513,0.33,1.74734013752173e-08,9,AC068790.9
RSPH13,1.00301738675759e-11,0.18492496123819,0.397,0.222,2.00603477351517e-08,9,RSPH1
MS4A73,1.05499478187928e-11,1.72139202363446,0.399,0.285,2.10998956375856e-08,9,MS4A7
RPL23AP493,1.07030257705306e-11,0.662220663015862,0.304,0.296,2.14060515410611e-08,9,RPL23AP49
AKAP9,1.09024743573501e-11,0.356257902047605,0.875,0.816,2.18049487147002e-08,9,AKAP9
AL445985.23,1.18866862723481e-11,1.24574529482595,0.313,0.267,2.37733725446961e-08,9,AL445985.2
FCER1G7,1.28035705431261e-11,3.10803263788937,0.271,0.168,2.56071410862522e-08,9,FCER1G
LINC003242,1.52266181733495e-11,1.27048359966619,0.553,0.484,3.04532363466989e-08,9,LINC00324
Z98885.22,1.96896779445743e-11,1.07769690552953,0.593,0.532,3.93793558891486e-08,9,Z98885.2
PSMB84,2.05943295976873e-11,0.345191137342341,0.879,0.857,4.11886591953745e-08,9,PSMB8
AC132938.27,2.0676252793157e-11,0.106876736313241,0.07,0.173,4.1352505586314e-08,9,AC132938.2
MYB5,2.31530982125835e-11,0.260186453599726,0.965,0.965,4.63061964251671e-08,9,MYB
CDKL42,2.44373720175643e-11,0.865791784960643,0.451,0.294,4.88747440351285e-08,9,CDKL4
FAM227A2,2.51487800287293e-11,0.540770193175292,0.634,0.521,5.02975600574586e-08,9,FAM227A
ZDBF21,2.91323789157203e-11,0.949023920113,0.44,0.313,5.82647578314407e-08,9,ZDBF2
NEK104,3.06229641609508e-11,0.687885800707062,0.511,0.349,6.12459283219016e-08,9,NEK10
ANKRD20A7P4,3.10726300031506e-11,0.906670448187838,0.304,0.262,6.21452600063013e-08,9,ANKRD20A7P
LINC013074,3.13712508589372e-11,1.27072445063751,0.322,0.232,6.27425017178745e-08,9,LINC01307
BAZ2B2,3.16895637534826e-11,0.136790412648642,0.641,0.403,6.33791275069651e-08,9,BAZ2B
FAM102A1,3.75918913132831e-11,0.888602752822713,0.615,0.516,7.51837826265663e-08,9,FAM102A
ITM2A1,4.40491765931531e-11,0.478402132483126,0.94,0.934,8.80983531863061e-08,9,ITM2A
AC024568.15,5.18570752683579e-11,0.24432619984827,0.44,0.271,1.03714150536716e-07,9,AC024568.1
RSPH33,5.6566203077906e-11,0.862981983468227,0.542,0.421,1.13132406155812e-07,9,RSPH3
PCDHB94,5.97637540178283e-11,1.15737373561963,0.339,0.252,1.19527508035657e-07,9,PCDHB9
BMPR23,6.08649599827804e-11,0.700170356004149,0.711,0.639,1.21729919965561e-07,9,BMPR2
ACSF32,6.3455353752417e-11,0.401253052652667,0.903,0.894,1.26910707504834e-07,9,ACSF3
KCNK62,6.4679668847867e-11,1.49552134465062,0.52,0.521,1.29359337695734e-07,9,KCNK6
OASL3,6.92897972829916e-11,1.61605252249501,0.434,0.303,1.38579594565983e-07,9,OASL
RAB3B3,6.99168169849139e-11,0.243734640215371,0.551,0.478,1.39833633969828e-07,9,RAB3B
HBEGF4,7.00440811043339e-11,0.996460969226747,0.621,0.527,1.40088162208668e-07,9,HBEGF
ENPP15,7.60868744285464e-11,2.32259582469211,0.392,0.296,1.52173748857093e-07,9,ENPP1
ZNF4697,8.00580168393807e-11,1.04306964391783,0.258,0.231,1.60116033678762e-07,9,ZNF469
AC002558.34,8.36574999729805e-11,1.15923675528855,0.41,0.251,1.67314999945961e-07,9,AC002558.3
AC082651.36,9.67574309276286e-11,0.121561115560897,0.383,0.326,1.93514861855257e-07,9,AC082651.3
SLC22A45,1.01131977296573e-10,1.34585658908783,0.522,0.243,2.02263954593145e-07,9,SLC22A4
H1F02,1.20472982612711e-10,0.393957224362186,0.773,0.802,2.40945965225422e-07,9,H1F0
AL354760.17,1.44910830146868e-10,0.491802098134519,0.196,0.151,2.89821660293736e-07,9,AL354760.1
CD823,1.49071707132697e-10,0.260597929994427,0.941,0.881,2.98143414265394e-07,9,CD82
NTRK14,1.71981486808216e-10,3.5390019605467,0.247,0.139,3.43962973616431e-07,9,NTRK1
HOTAIR5,1.9052566997195e-10,0.797055502590928,0.496,0.468,3.810513399439e-07,9,HOTAIR
TNIP34,2.18330137491445e-10,0.681003270589514,0.132,0.136,4.3666027498289e-07,9,TNIP3
HIST1H4H2,2.78776392628664e-10,1.09073754675306,0.379,0.258,5.57552785257328e-07,9,HIST1H4H
AL133342.12,3.04577663014482e-10,0.427266349749043,0.48,0.369,6.09155326028964e-07,9,AL133342.1
CHD73,3.41288899690434e-10,0.389049361190467,0.736,0.61,6.82577799380869e-07,9,CHD7
AL627171.24,4.04034197071442e-10,1.13083153261332,0.388,0.284,8.08068394142885e-07,9,AL627171.2
KIF25-AS15,4.2403775300814e-10,1.04826201929659,0.26,0.257,8.4807550601628e-07,9,KIF25-AS1
MEX3A4,4.70926760248329e-10,0.501389879701233,0.78,0.705,9.41853520496658e-07,9,MEX3A
SV2C2,6.449978305788e-10,0.807877032804498,0.546,0.52,1.2899956611576e-06,9,SV2C
AQP32,6.46667032754264e-10,0.592926438687854,0.83,0.764,1.29333406550853e-06,9,AQP3
F53,6.69735352765224e-10,0.140278164487709,0.516,0.288,1.33947070553045e-06,9,F5
AEBP13,7.37453079509604e-10,0.437658217105492,0.789,0.775,1.47490615901921e-06,9,AEBP1
FNDC75,7.46932548005111e-10,1.49402155367311,0.496,0.284,1.49386509601022e-06,9,FNDC7
AC012435.27,7.52128233599859e-10,1.26478458069684,0.363,0.213,1.50425646719972e-06,9,AC012435.2
DAB21,7.52240832059164e-10,0.459644927716745,0.599,0.53,1.50448166411833e-06,9,DAB2
GPR182,7.6287363680911e-10,1.16588976095911,0.355,0.34,1.52574727361822e-06,9,GPR18
CEP682,9.70401963372481e-10,0.488440202399675,0.687,0.55,1.94080392674496e-06,9,CEP68
ADARB24,1.25262778231991e-09,1.67346474075804,0.255,0.171,2.50525556463982e-06,9,ADARB2
IFI442,1.27104503304524e-09,0.572332578399286,0.361,0.209,2.54209006609047e-06,9,IFI44
MLH31,1.41033501590886e-09,0.20140844059588,0.366,0.225,2.82067003181772e-06,9,MLH3
CDNF3,1.51649171682561e-09,1.47389008841291,0.509,0.472,3.03298343365122e-06,9,CDNF
C21orf62-AS12,1.56688002452259e-09,1.49050727811003,0.511,0.469,3.13376004904519e-06,9,C21orf62-AS1
TMEM263,1.65483051006992e-09,0.717532229464128,0.586,0.476,3.30966102013985e-06,9,TMEM26
ZMAT12,1.84283789256367e-09,0.655013289152972,0.522,0.374,3.68567578512734e-06,9,ZMAT1
CCDC1862,1.98519255978257e-09,0.485980816453098,0.723,0.672,3.97038511956515e-06,9,CCDC186
AC007292.27,2.34805342303133e-09,0.660783466970701,0.156,0.085,4.69610684606266e-06,9,AC007292.2
PEX5L3,2.66163531121615e-09,0.363889565676829,0.529,0.369,5.3232706224323e-06,9,PEX5L
AC015971.13,2.78155123118198e-09,0.81759507617782,0.277,0.166,5.56310246236395e-06,9,AC015971.1
ITGB71,2.80608055329613e-09,1.13495734585149,0.364,0.273,5.61216110659227e-06,9,ITGB7
GRK33,3.0134752818503e-09,0.275182922012665,0.958,0.956,6.02695056370059e-06,9,GRK3
FCMR1,3.0772415140858e-09,1.16894547385273,0.555,0.584,6.1544830281716e-06,9,FCMR
BCAR46,3.1583503146213e-09,1.02264805392893,0.066,0.224,6.31670062924259e-06,9,BCAR4
TNFSF42,3.86993116628002e-09,0.198292620912794,0.507,0.369,7.73986233256004e-06,9,TNFSF4
RUNX14,4.14056918893215e-09,0.265881565756922,0.905,0.906,8.2811383778643e-06,9,RUNX1
AC099778.14,4.14833810185929e-09,0.148538065147649,0.542,0.424,8.29667620371859e-06,9,AC099778.1
GSDME2,4.40229514528915e-09,1.02162195309585,0.509,0.48,8.8045902905783e-06,9,GSDME
AXDND14,4.49997987582682e-09,1.66818174002791,0.493,0.387,8.99995975165364e-06,9,AXDND1
AC107993.17,4.6997855219491e-09,0.724475763664243,0.218,0.247,9.39957104389821e-06,9,AC107993.1
INA2,5.27353072518142e-09,1.27977264242005,0.465,0.415,1.05470614503628e-05,9,INA
RAB9B2,5.42223430532374e-09,0.642758268235079,0.679,0.553,1.08444686106475e-05,9,RAB9B
CBX5P15,6.91224390436312e-09,1.35770502507111,0.403,0.312,1.38244878087262e-05,9,CBX5P1
ISG202,6.99576592810548e-09,0.753901334970398,0.531,0.476,1.3991531856211e-05,9,ISG20
SMARCE1P15,7.21906131734713e-09,0.357707372894019,0.245,0.248,1.44381226346943e-05,9,SMARCE1P1
ANKRD20A8P3,7.25990514795334e-09,1.34285931913508,0.313,0.266,1.45198102959067e-05,9,ANKRD20A8P
PGM2L14,8.34054431211421e-09,0.637067246012437,0.705,0.679,1.66810886242284e-05,9,PGM2L1
RNF323,9.91737678559207e-09,0.695212924002626,0.44,0.28,1.98347535711841e-05,9,RNF32
GIMAP82,1.11433150623378e-08,0.276841775509495,0.311,0.244,2.22866301246757e-05,9,GIMAP8
CLOCK3,1.18979073005101e-08,0.205249654780004,0.648,0.517,2.37958146010203e-05,9,CLOCK
ZNF5823,1.23335219360159e-08,0.237363158732515,0.341,0.363,2.46670438720318e-05,9,ZNF582
STAT12,1.26777565818934e-08,0.546671909086256,0.722,0.64,2.53555131637868e-05,9,STAT1
