"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"pre_pro_B.EBF1",2.97472088531591e-10,2.85337233408394,0.472,0.035,7.28181925516481e-06,"pre_pro_B"
"pre_pro_B.VPREB3",3.2307951583968e-10,6.0254639212008,0.417,0.012,7.90866346823953e-06,"pre_pro_B"
"pre_pro_B.ZCCHC7",6.10310815413331e-10,2.15051470469102,0.764,0.329,1.49397984505029e-05,"pre_pro_B"
"pre_pro_B.MX1",2.80466140764467e-09,3.84653309556544,0.458,0.059,6.86553065977339e-05,"pre_pro_B"
"pre_pro_B.TOP2B",5.92950468726634e-09,1.94503924871421,0.792,0.435,0.000145148345239593,"pre_pro_B"
"pre_pro_B.CD24",8.83346748108632e-09,5.73481705286667,0.361,0.012,0.000216234450469512,"pre_pro_B"
"pre_pro_B.RPS21",1.0158810364083e-08,1.00660985062526,1,1,0.000248677518902388,"pre_pro_B"
"pre_pro_B.BLNK",1.24584145182338e-08,1.79902783018771,0.681,0.212,0.000304969528991846,"pre_pro_B"
"pre_pro_B.LCN2",4.64431453642297e-08,3.61345811947706,0.444,0.071,0.00113688175537098,"pre_pro_B"
"pre_pro_B.LTB",7.52447546024666e-08,2.05433915250039,0.722,0.341,0.00184191634791378,"pre_pro_B"
"pre_pro_B.S100A12",9.89647121488217e-08,3.83909763202198,0.528,0.141,0.00242255718869101,"pre_pro_B"
"pre_pro_B.RAG1",1.08736291361536e-07,6.75206155372063,0.292,0,0.00266175567623903,"pre_pro_B"
"pre_pro_B.ISG15",1.16687302535929e-07,3.45501720494502,0.431,0.071,0.00285638847877699,"pre_pro_B"
"pre_pro_B.CD79A",1.45273149619409e-07,1.17130771948349,0.778,0.294,0.00355614142953352,"pre_pro_B"
"pre_pro_B.IFI6",3.5488604864489e-07,3.06974372045426,0.431,0.082,0.00868725558477827,"pre_pro_B"
"pre_pro_B.GLRX",7.80785998200968e-07,1.43374104541403,0.764,0.388,0.0191128604499615,"pre_pro_B"
"pre_pro_B.LTF",7.86170112638066e-07,3.15194590675755,0.625,0.235,0.0192446581872672,"pre_pro_B"
"pre_pro_B.MYB",7.94801350006426e-07,1.76811005535999,0.639,0.271,0.0194559422468073,"pre_pro_B"
"pre_pro_B.MNDA",1.17507766774846e-06,2.87689597894569,0.472,0.118,0.0287647262288146,"pre_pro_B"
"pre_pro_B.RASAL2",1.63320595438843e-06,4.300333910838,0.292,0.024,0.0399792485574744,"pre_pro_B"
"CMP.SLC35F1",1.89224279757072e-11,2.90402671199253,0.897,0.286,4.63202114417337e-07,"CMP"
"CMP.S100A9",3.04986953453098e-10,2.79856580457966,0.966,0.457,7.46577563357838e-06,"CMP"
"CMP.IFI6",2.16437240212417e-09,5.09836907769789,0.552,0.043,5.29816720315976e-05,"CMP"
"CMP.LTF",1.0955658567697e-08,2.34511672601022,0.759,0.143,0.000268183566078655,"CMP"
"CMP.XIST",1.27370938103992e-08,6.8127193252696,0.414,0,0.000311791319384762,"CMP"
"CMP.S100A8",1.73114563853242e-08,2.00277855172418,0.931,0.657,0.000423767140856351,"CMP"
"CMP.AC099560.1",2.54155468800496e-08,1.18963354052027,1,0.957,0.000622147172076735,"CMP"
"CMP.IFI44L",6.01855597982894e-08,6.92228348954958,0.379,0,0.00147328231830233,"CMP"
"CMP.CAMP",7.04829106204973e-08,3.68320191187014,0.621,0.1,0.00172535116907915,"CMP"
"CMP.ISG15",2.49869087766622e-07,4.72678026967519,0.517,0.071,0.00611654539943915,"CMP"
"CMP.MX1",4.06965439013642e-07,5.35607352729894,0.379,0.014,0.00996210698161494,"CMP"
